Дыхание Истока,P_вых,eta_mag,inflow_ratio,pressure_per_power,core_stability
-0.44,-0.005138746145940465,0.256368732482093,0.0015316648110604838,-0.008024485600534948,-0.005452285410145247
-0.04,-0.5650565262076055,-0.7658024766668697,4.429676967269243,12.325551645138486,3.2564290474337567
0.0,0.5732785200411102,-0.20250095061473045,-0.31498909807802267,-0.2057977943429825,-0.18720658650394045
0.24,-0.48633093525179866,-1.0863394491507383,5.151263630043388,8.855644012042491,1.069866080632028
-0.48,0.8853031860226107,-0.430189559901832,-0.3686644201624274,-0.2778022186365786,-0.22954420060673675
-0.2,0.012641315519013296,0.20696961900975305,0.0005200091736440208,0.0026545979158411363,-0.0034939150987900584
-0.36,0.2668036998972252,-0.016070034184177955,-0.12140808119852281,-0.12406394234796997,-0.12516625551385535
0.04,-0.5528263103802673,-0.5562568485645405,3.605522623145355,6.5762095622379215,2.4006573980097494
-0.84,-0.4455292908530319,0.7246124504865771,0.6819321611774763,0.7588711058918578,0.7695903220040822
0.56,1.4655704008222,-0.7706409019451731,-0.5743802451950392,-0.3551298143735676,-0.2597803636622975
0.56,-0.4992805755395684,0.24171448960780267,1.5965960609018375,2.0069454664315023,1.457748116895073
-1.0,-0.44357656731757455,0.6933727810650896,0.6820424755085859,0.7622670439853212,0.7650468475550835
-0.56,-0.01274409044193223,0.27766725959269634,0.000557535247226184,-0.012781458865181209,-0.006429045195414822
-0.16,0.5734840698869478,-0.20979220209989405,-0.31610051201506423,-0.2057986749053087,-0.18770220120543887
-0.72,-0.5513874614594041,-0.5868681827903327,3.4159838563666254,6.430872002470057,2.4751565299275886
-0.76,-0.43340184994861275,0.6233727810650895,0.6823771716575909,0.7804368485989536,0.7720943983538618
0.76,-0.5410071942446044,-0.7020370550004847,4.181707715546145,8.227837708621355,2.3443839141424676
0.6,-0.488283658787256,-0.23743802974572187,3.298224004900676,2.7745512619270163,1.126272289355748
-0.6,-0.48201438848920874,-1.0968399848923576,5.057072354642845,8.335073407603266,1.0645401937489254
0.0,1.4396711202466603,-0.7772221197847692,-0.5720392035779331,-0.3592328522539753,-0.2604957693455148
0.24,0.5611510791366907,-0.17076514996939354,-0.31619026948861895,-0.20974639665555242,-0.1864527969461553
-0.04,0.9231243576567322,-0.45348293202915607,-0.36719978302480866,-0.26861703756153266,-0.22862630115263688
0.52,0.574922918807811,-0.1802272189349109,-0.31698491887040575,-0.20561109356078017,-0.1855988667753414
-0.84,-0.4297019527235355,0.585091531065089,0.6830680576562129,0.7871383542436482,0.7698770780817947
0.96,-0.4421377183967113,0.8812675179071943,0.6838860475643241,0.7663916218411823,0.8212453293048029
-0.04,-0.5391572456320659,0.9357888884476394,0.08065668927398667,2.013074998963879,2.1431272250171114
0.64,-0.5327852004110998,-0.8869011915376507,4.746884225215985,10.303859360325008,2.0700543205351347
-0.52,-0.5894141829393629,-0.021364061040174083,1.6181616690870524,6.860457555603027,4.884005681565902
0.08,0.5559095580678317,-0.16885967002812147,-0.3170543650682442,-0.21142234670047635,-0.1869441544897149
0.4,-0.008221993833504635,0.3260924463370558,0.0012456679629870827,-0.009701839925146897,0.0012543388151852108
0.0,-0.26474820143884886,0.6233727810650891,0.28421308905861037,0.18779981728441858,0.25290973701366204
-0.8,-0.26341212744090436,0.5457070750132159,0.2840838772122586,0.188812646862472,0.2412624050528902
0.0,-0.2609455292908531,0.5945492516533244,0.2844641937589562,0.19137996298371107,0.2529259126138795
0.72,-0.4704008221993835,-0.18678658148471158,2.726230608624818,2.2591872744771,1.109124834218368
0.4,0.5537512846865367,-0.14956086270673843,-0.31533291440867195,-0.21200830437558973,-0.18595071679314865
-0.4,-0.25930113052415216,0.5525635325101761,0.2845299917967378,0.1928180801797103,0.24710657356695573
0.44,-0.25590955806783156,0.6016913651358855,0.2849130109513628,0.19624987732198879,0.25935466866610324
